ds,排名,每百万网民访问该站的人数,每百万受访网页该站网页数,人均浏览页面数,y
1/1/09,43,12900,3239,17.8,7224000
1/2/09,41,12700,4030,22.7,7112000
1/3/09,41,12800,3811,20.8,7168000
1/4/09,39,13500,4012,20.9,7560000
1/5/09,37,13700,3957,20.5,7672000
1/6/09,36,12500,3987,22.6,7000000
1/7/09,40,11600,3484,22.2,6496000
1/8/09,42,11700,3220,20.3,6552000
1/9/09,38,12300,3430,20.3,6888000
1/10/09,39,12400,3622,21.3,6944000
1/11/09,40,12800,3725,21.7,7168000
1/12/09,37,13400,3722,20.5,7504000
1/13/09,38,12700,3723,21.3,7112000
1/14/09,36,13200,3985,21.3,7392000
1/15/09,51,12700,3674,20.3,7112000
1/16/09,37,13100,3664,19.7,7336000
1/17/09,40,12600,3269,19,7056000
1/18/09,42,12100,3565,21.9,6776000
1/19/09,39,12800,3483,20.4,7168000
1/20/09,41,12400,3297,19.5,6944000
1/21/09,45,11200,2770,18,6272000
1/22/09,46,10900,2568,17.3,6104000
1/23/09,47,9900,2269,16.5,5544000
1/24/09,51,10000,2019,14.7,5600000
1/25/09,63,9200,1457,11.6,5152000
1/26/09,52,10100,1755,12.6,5656000
1/27/09,49,10100,1852,13.2,5656000
1/28/09,51,9700,1943,14.6,5432000
1/29/09,46,10800,2349,15.5,6048000
1/30/09,47,10300,2619,18.2,5768000
1/31/09,46,11300,2870,18.4,6328000
2/1/09,40,13100,3391,19.2,7336000
2/2/09,48,13600,3675,19.8,7616000
2/3/09,36,13900,3531,18.8,7784000
2/4/09,36,13400,3515,19.1,7504000
2/5/09,37,14200,4122,21.3,7952000
2/6/09,37,13200,3886,21.5,7392000
2/7/09,38,13200,4189,23.4,7392000
2/8/09,40,13200,3500,19.7,7392000
2/9/09,37,13800,3652,19.2,7728000
2/10/09,37,13800,4050,21.6,7728000
2/11/09,37,13800,3508,18.6,7728000
2/12/09,37,14200,4164,21.5,7952000
2/13/09,37,14800,3134,15.1,8288000
2/14/09,39,13300,3424,18.4,7448000
2/15/09,38,14100,3600,18.5,7896000
2/16/09,37,14200,3423,17.6,7952000
2/17/09,37,13800,3507,18.6,7728000
2/18/09,37,13800,3716,19.7,7728000
2/19/09,37,13600,3579,19.1,7616000
2/20/09,37,13500,3359,17.9,7560000
